Borough Code,DOT street name,CSCL street name,PHYSICALID
4,77 street,77 st,31812.0
4,77 street,77 st,32752.0
4,77 street,77 st,32749.0
4,77 street,77 st,32747.0
4,77 street,77 st,83815.0
4,77 street,77 st,31809.0
4,77 street,77 st,32788.0
4,77 street,77 st,31954.0
4,77 street,77 st,100090.0
4,77 street,77 st,30732.0
4,77 street,77 st,32787.0
4,77 street,77 st,32745.0
4,77 street,77 st,31956.0
4,77 street,77 st,181935.0
4,77 street,77 st,70007.0
4,77 street,77 st,30733.0
4,77 street,77 st,32750.0
4,77 street,77 st,31811.0
4,77 street,77 st,30730.0
4,77 street,77 st,70006.0
4,77 street,77 st,32740.0
4,77 street,77 st,32744.0
4,77 street,77 st,97829.0
4,77 street,77 st,32739.0
4,77 street,77 st,31955.0
4,77 street,77 st,100091.0
4,77 street,77 st,32742.0
4,77 street,77 st,32786.0
4,77 street,77 st,32753.0
4,77 street,77 st,31810.0
4,77 street,77 st,31952.0
4,77 street,77 st,32754.0
4,77 street,77 st,30729.0
4,77 street,77 st,32748.0
4,77 street,77 st,83813.0
4,77 street,77 st,83816.0
4,77 street,77 st,32741.0
4,77 street,77 st,32751.0
4,77 street,77 st,31957.0
4,77 street,77 st,30731.0
4,77 street,77 st,30734.0
4,77 street,77 st,70008.0
4,77 street,77 st,97830.0
4,77 street,77 st,32785.0
4,77 street,77 st,31953.0
4,77 street,77 st,83814.0
4,77 street,77 st,32746.0
4,78 street,78 st,83819.0
4,78 street,78 st,33548.0
4,78 street,78 st,93325.0
4,78 street,78 st,9250.0
4,78 street,78 st,9248.0
4,78 street,78 st,93324.0
4,78 street,78 st,83821.0
4,78 street,78 st,80453.0
4,78 street,78 st,31965.0
4,78 street,78 st,93422.0
4,78 street,78 st,9249.0
4,78 street,78 st,31975.0
4,78 street,78 st,30746.0
4,78 street,78 st,31966.0
4,78 street,78 st,33541.0
4,78 street,78 st,10149.0
4,78 street,78 st,33549.0
4,78 street,78 st,30747.0
4,78 street,78 st,31974.0
4,78 street,78 st,93322.0
4,78 street,78 st,90457.0
4,78 street,78 st,133146.0
4,78 street,78 st,33542.0
4,78 street,78 st,31973.0
4,78 street,78 st,9245.0
4,78 street,78 st,30748.0
4,78 street,78 st,32606.0
4,78 street,78 st,31970.0
4,78 street,78 st,167888.0
4,78 street,78 st,83817.0
4,78 street,78 st,188257.0
4,78 street,78 st,33540.0
4,78 street,78 st,30749.0
4,78 street,78 st,103359.0
4,78 street,78 st,80454.0
4,78 street,78 st,9247.0
4,78 street,78 st,95981.0
4,78 street,78 st,167900.0
4,78 street,78 st,93323.0
4,78 street,78 st,9251.0
4,78 street,78 st,31971.0
4,78 street,78 st,10147.0
4,78 street,78 st,33546.0
4,78 street,78 st,10148.0
4,78 street,78 st,83822.0
4,78 street,78 st,101700.0
4,78 street,78 st,32605.0
4,78 street,78 st,10151.0
4,78 street,78 st,125046.0
4,78 street,78 st,31969.0
4,78 street,78 st,30750.0
4,78 street,78 st,31968.0
4,78 street,78 st,83818.0
4,78 street,78 st,133145.0
4,78 street,78 st,10150.0
4,78 street,78 st,30751.0
4,78 street,78 st,9246.0
4,78 street,78 st,31972.0
4,78 street,78 st,199397.0
4,78 street,78 st,83820.0
4,78 street,78 st,10146.0
4,78 street,78 st,33544.0
4,78 street,78 st,100074.0
