,normalized_street_name,Vol
701,4-jackson avenue,151.4223194748359
702,4-jamaica avenue,133.81593406593407
703,4-jericho turnpike,198.50052029136316
704,4-jj byrne memorial bridge,165.72282608695653
705,4-junction boulevard,67.888
706,4-juniper boulevard south,57.48201438848921
707,4-kew forest lane,17.21153846153846
708,4-kissena boulevard,78.72184065934066
709,4-kosciuszko bridge,1168.4975961538462
710,4-la guardia arpt entrance,155.4943538268507
711,4-liberty avenue,138.78512151748666
712,4-linden boulevard,143.12914834066373
713,4-long island expressway,549.2252316464718
714,4-long island expwy et 19 wb,211.06410256410257
715,4-main avenue,24.027415143603132
716,4-main street,101.46739130434783
717,4-marathon parkway,60.84905660377358
718,4-maurice avenue,101.49358974358974
719,4-merrick boulevard,169.75120076849183
720,4-metropolitan avenue,194.02884615384616
721,4-myrtle avenue,72.20514761544284
722,4-north channel bridge,185.26427469135803
723,4-north conduit avenue,334.8131868131868
724,4-northern boulevard,213.72181938035595
725,4-park drive east,73.3385989010989
726,4-park lane,70.15384615384616
727,4-park lane south,96.08068459657702
728,4-parsons boulevard,68.66071428571429
729,4-pitkin avenue,35.84905660377358
730,4-pulaski bridge,214.65588521400778
731,4-queens boulevard,216.3572953736655
732,4-queens midtown expressway bridge,424.89406779661016
733,4-review avenue,89.93509615384616
734,4-rikers island bridge,60.265694076038905
735,4-rockaway beach boulevard,75.05992366412214
736,4-rockaway boulevard,278.9393459915612
737,4-rockaway freeway,20.733250620347395
738,4-roosevelt avenue,103.07239952718676
739,4-roosevelt avenue bridge,114.48214821482148
740,4-rust street,148.83333333333334
741,4-seagirt boulevard,151.8836865450961
742,4-shore front parkway,60.285714285714285
743,4-skillman avenue,78.51923076923077
744,4-sound street,142.36813186813185
745,4-south conduit avenue,543.0989010989011
746,4-steinway street,22.142857142857142
747,4-sunrise highway,449.99477806788514
748,4-sutter avenue,94.91868460388639
749,4-thomson avenue,218.96703296703296
750,4-thornhill avenue,2.441666666666667
751,4-union hall street,33.58536585365854
752,4-union turnpike,131.43492747941983
753,4-utopia parkway,63.57954545454545
754,4-van dam street,121.54807692307692
755,4-van wyck expressway,823.375
